sale_id,product_id,customer_id,rep_id,quantity,sale_date,discount_pct,total_value_usd
SALE00001,PROD006,CUST0002,REP019,71,2025-01-30,0.07,1179.07
SALE00002,PROD002,CUST0046,REP002,30,2025-01-10,0.02,253.92
SALE00003,PROD006,CUST0005,REP017,31,2024-08-26,0.08,2478.53
SALE00004,PROD009,CUST0009,REP019,74,2025-03-15,0.14,3944.64
SALE00005,PROD013,CUST0027,REP007,13,2024-11-16,0.03,2212.15
SALE00006,PROD007,CUST0027,REP015,94,2024-08-26,0.02,3301.93
SALE00007,PROD011,CUST0007,REP002,52,2024-08-14,0.22,4022.9
SALE00008,PROD002,CUST0016,REP007,25,2024-10-04,0.16,786.89
SALE00009,PROD003,CUST0018,REP015,32,2024-10-16,0.26,469.39
SALE00010,PROD013,CUST0036,REP004,7,2024-10-04,0.2,2748.88
SALE00011,PROD001,CUST0006,REP008,22,,0.12,2458.66
SALE00012,PROD014,CUST0026,REP002,22,2024-12-30,0.11,4928.01
SALE00013,PROD005,CUST0030,REP010,55,2024-08-17,0.21,
SALE00014,PROD012,CUST0036,REP016,20,2024-07-16,0.06,1166.73
SALE00015,PROD001,CUST0038,REP018,8,2024-08-25,0.22,380.11
SALE00016,PROD010,CUST0031,REP017,68,2024-12-07,0.05,4807.82
SALE00017,PROD002,CUST0012,REP003,77,2024-10-07,0.02,4322.91
SALE00018,PROD007,CUST0008,REP019,32,2024-12-02,0.17,294.73
SALE00019,PROD002,CUST0027,REP019,73,2024-10-16,0.16,4680.06
SALE00020,PROD004,CUST0043,REP011,31,2024-12-27,0.08,741.3
SALE00021,PROD011,CUST0020,REP015,41,2025-04-21,0.28,4685.1
SALE00022,PROD001,CUST0030,REP020,73,,0.3,458.98
SALE00023,PROD004,CUST0033,REP009,17,2024-07-21,0.28,4416.23
SALE00024,PROD015,CUST0016,REP012,37,2024-11-09,0.05,4185.35
SALE00025,PROD012,CUST0020,REP020,84,2024-09-27,0.16,3372.53
SALE00026,PROD009,CUST0020,REP004,18,2024-09-25,0.08,
SALE00027,PROD015,CUST0007,REP018,20,2025-03-28,0.08,3063.67
SALE00028,PROD012,CUST0022,REP007,88,2025-02-19,0.19,1393.52
SALE00029,PROD008,CUST0017,REP002,12,2024-12-31,0.19,4163.81
SALE00030,PROD001,CUST0001,REP011,99,2025-02-07,0.04,4901.01
SALE00031,PROD003,CUST0048,REP015,71,2025-02-16,0.21,2848.44
SALE00032,PROD002,CUST0005,REP005,70,2024-09-05,0.01,1909.16
SALE00033,PROD009,CUST0010,REP014,17,,0.01,1886.79
SALE00034,PROD015,CUST0003,REP012,27,2024-12-16,0.2,3367.97
SALE00035,PROD006,CUST0050,REP018,53,2024-08-02,0.29,3772.44
SALE00036,PROD015,CUST0016,REP006,23,2024-08-13,0.26,221.45
SALE00037,PROD012,CUST0022,REP014,86,2024-10-18,0.26,4072.67
SALE00038,PROD005,CUST0011,REP004,49,2024-06-24,0.26,4307.11
SALE00039,PROD004,CUST0013,REP015,45,2024-11-22,0.09,
SALE00040,PROD013,CUST0015,REP008,4,2024-10-29,0.2,2052.48
SALE00041,PROD005,CUST0005,REP009,45,2025-05-14,0.19,2058.42
SALE00042,PROD014,CUST0035,REP011,4,2025-02-17,0.03,4854.96
SALE00043,PROD003,CUST0038,REP009,5,2024-11-16,0.03,2229.36
SALE00044,PROD012,CUST0021,REP014,78,,0.3,666.66
SALE00045,PROD015,CUST0037,REP007,33,2025-04-30,0.01,2236.68
SALE00046,PROD009,CUST0035,REP007,47,2025-05-22,0.13,4749.48
SALE00047,PROD015,CUST0022,REP020,41,2024-10-27,0.2,710.66
SALE00048,PROD015,CUST0020,REP017,40,2024-12-09,0.2,1698.3
SALE00049,PROD012,CUST0019,REP018,17,2024-10-29,0.06,3358.15
SALE00050,PROD007,CUST0044,REP006,79,2024-12-06,0.17,2089.77
SALE00051,PROD014,CUST0001,REP010,37,2025-05-04,0.06,3950.22
SALE00052,PROD010,CUST0042,REP011,60,2025-05-07,0.13,
SALE00053,PROD011,CUST0014,REP017,61,2025-05-21,0.24,4803.18
SALE00054,PROD012,CUST0011,REP003,37,2025-03-01,0.15,3201.41
SALE00055,PROD006,CUST0006,REP008,87,,0.09,4052.16
SALE00056,PROD003,CUST0002,REP002,32,2025-02-07,0.3,3095.24
